seq,ts_ns,event,order_id,side,type,price,quantity
50172,39303696487177,CANCEL,27411419,BUY,LIMIT,1409200,100
50173,39303716482839,NEW,27429487,BUY,LIMIT,1409200,100
50174,39303716929726,CANCEL,27429487,BUY,LIMIT,1409200,100
50175,39303795948807,NEW,27429831,SELL,LIMIT,1410100,100
50176,39304352761696,CANCEL,27429831,SELL,LIMIT,1410100,100
50177,39304353516042,NEW,27432651,SELL,LIMIT,1410100,100
50178,39305020092846,CANCEL,27432651,SELL,LIMIT,1410100,100
50179,39305111751906,NEW,27434055,SELL,LIMIT,1410100,100
50180,39305125329765,CANCEL,27434055,SELL,LIMIT,1410100,100
50181,39305161079993,NEW,27434127,SELL,LIMIT,1410100,100
50182,39305255410542,CANCEL,27434127,SELL,LIMIT,1410100,100
50183,39305279833234,NEW,27434351,SELL,LIMIT,1410100,100
50184,39305456951433,CANCEL,27434351,SELL,LIMIT,1410100,100
50185,39305458552403,NEW,27434679,SELL,LIMIT,1410100,100
50186,39305716165025,CANCEL,27434679,SELL,LIMIT,1410100,100
50187,39305716973771,NEW,27435151,SELL,LIMIT,1410100,100
50188,39306306274851,CANCEL,27435151,SELL,LIMIT,1410100,100
50189,39306491408235,NEW,27437827,SELL,LIMIT,1409700,100
50190,39306548200784,NEW,27437943,SELL,LIMIT,1410100,100
50191,39306549016910,CANCEL,27437943,SELL,LIMIT,1410100,100
50192,39306607676586,NEW,27438363,BUY,LIMIT,1409200,100
50193,39307090556554,CANCEL,27437827,SELL,LIMIT,1409700,100
50194,39307092823306,NEW,27440339,SELL,LIMIT,1409600,100
50195,39307092867367,CANCEL,27440339,SELL,LIMIT,1409600,100
50196,39307092867367,NEW,900000000471,BUY,MARKET,,100
50197,39307093338444,NEW,27440355,BUY,LIMIT,1409500,100
50198,39307093712208,CANCEL,27438363,BUY,LIMIT,1409200,100
50199,39307326383829,CANCEL,27440355,BUY,LIMIT,1409500,100
50200,39307354832497,NEW,27440875,BUY,LIMIT,1409200,100
50201,39307380581120,CANCEL,27440875,BUY,LIMIT,1409200,100
50202,39307632126052,NEW,27441519,SELL,LIMIT,1410100,100
50203,39307632752670,CANCEL,27441519,SELL,LIMIT,1410100,100
50204,39307634509711,NEW,27441575,SELL,LIMIT,1410100,100
50205,39307649384728,CANCEL,27441575,SELL,LIMIT,1410100,100
50206,39307673338852,NEW,27441759,SELL,LIMIT,1410100,100
50207,39308445728100,CANCEL,27356383,SELL,LIMIT,1409800,100
50208,39309181386331,NEW,27447563,BUY,LIMIT,1409300,100
50209,39309242984154,NEW,27448019,SELL,LIMIT,1409800,100
50210,39309542495999,CANCEL,27448019,SELL,LIMIT,1409800,100
50211,39309575307924,CANCEL,27447563,BUY,LIMIT,1409300,100
50212,39309707636239,NEW,27449515,BUY,LIMIT,1409300,100
50213,39309709179759,CANCEL,27449515,BUY,LIMIT,1409300,100
50214,39309717024270,NEW,27449667,BUY,LIMIT,1409300,100
50215,39309770895985,CANCEL,27441759,SELL,LIMIT,1410100,100
50216,39309771112610,NEW,27450083,SELL,LIMIT,1410100,100
50217,39309983739202,CANCEL,27450083,SELL,LIMIT,1410100,100
50218,39309985004847,NEW,27450475,SELL,LIMIT,1410100,100
50219,39309988958124,CANCEL,27450475,SELL,LIMIT,1410100,100
50220,39309989450309,NEW,27450491,SELL,LIMIT,1410100,100
50221,39309995408195,CANCEL,27450491,SELL,LIMIT,1410100,100
50222,39310010772554,NEW,27450527,SELL,LIMIT,1410100,100
50223,39310220812622,CANCEL,27450527,SELL,LIMIT,1410100,100
50224,39310223138349,NEW,27451203,SELL,LIMIT,1410100,100
50225,39310232129340,CANCEL,27451203,SELL,LIMIT,1410100,100
50226,39310234617474,NEW,27451279,SELL,LIMIT,1410100,100
50227,39310446436453,CANCEL,27451279,SELL,LIMIT,1410100,100
50228,39310576824377,NEW,27453395,BUY,LIMIT,1409200,100
50229,39310578477497,CANCEL,27453395,BUY,LIMIT,1409200,100
50230,39310580721429,NEW,27453851,BUY,LIMIT,1409200,100
50231,39310793611067,CANCEL,27453851,BUY,LIMIT,1409200,100
50232,39310802266627,NEW,27456231,SELL,LIMIT,1410100,100
50233,39310803403940,CANCEL,27456231,SELL,LIMIT,1410100,100
50234,39311404828096,NEW,27459327,BUY,LIMIT,1409200,100
50235,39311409601288,CANCEL,27459327,BUY,LIMIT,1409200,100
50236,39311483267224,NEW,27459755,BUY,LIMIT,1409200,100
50237,39311505651702,CANCEL,27459755,BUY,LIMIT,1409200,100
50238,39311723821998,NEW,27460511,BUY,LIMIT,1409200,100
50239,39311823038287,CANCEL,27460511,BUY,LIMIT,1409200,100
50240,39311832377941,NEW,27460831,BUY,LIMIT,1409200,100
50241,39311953470865,CANCEL,27460831,BUY,LIMIT,1409200,100
50242,39312023665024,NEW,27461547,BUY,LIMIT,1409200,100
50243,39312137820662,CANCEL,27427603,SELL,LIMIT,1410000,100
50244,39312139670478,NEW,27462023,SELL,LIMIT,1410000,100
50245,39312140974795,CANCEL,27462023,SELL,LIMIT,1410000,100
50246,39313902216082,NEW,27468979,SELL,LIMIT,1409600,100
50247,39314030198658,NEW,27469875,SELL,LIMIT,1410000,11
50248,39314044033414,NEW,27470295,BUY,LIMIT,1409100,100
50249,39314201531018,CANCEL,27468979,SELL,LIMIT,1409600,100
50250,39314467742780,CANCEL,27470295,BUY,LIMIT,1409100,100
50251,39314562266521,NEW,27473155,BUY,LIMIT,1409100,100
50252,39314955222815,CANCEL,27473155,BUY,LIMIT,1409100,100
50253,39314966682033,NEW,27474743,BUY,LIMIT,1409100,100
