seq,ts_ns,event,order_id,side,type,price,quantity
232,34207042615828,CANCEL,845542,SELL,LIMIT,516500,100
233,34207042615828,NEW,900000000017,BUY,MARKET,,100
234,34207192515407,NEW,849594,SELL,LIMIT,516500,100
235,34207193628291,CANCEL,849594,SELL,LIMIT,516500,100
236,34207195392598,NEW,849626,SELL,LIMIT,516500,100
237,34207197459425,CANCEL,849626,SELL,LIMIT,516500,100
238,34207421795179,NEW,857094,SELL,LIMIT,516500,100
239,34207770680302,CANCEL,857094,SELL,LIMIT,516500,100
240,34207770680302,NEW,900000000018,BUY,MARKET,,100
241,34207932324370,REDUCE,818118,SELL,LIMIT,516600,700
242,34207932324370,NEW,900000000019,BUY,MARKET,,100
243,34207932363049,REDUCE,818118,SELL,LIMIT,516600,374
244,34207932363049,NEW,900000000020,BUY,MARKET,,326
245,34207932415653,CANCEL,818118,SELL,LIMIT,516600,374
246,34207932415653,NEW,900000000021,BUY,MARKET,,374
247,34208048932229,NEW,875414,SELL,LIMIT,516600,100
248,34208048954247,CANCEL,875414,SELL,LIMIT,516600,100
249,34208048960729,NEW,875426,SELL,LIMIT,516600,100
250,34208048975267,CANCEL,875426,SELL,LIMIT,516600,100
251,34208064295479,NEW,875702,SELL,LIMIT,516500,100
252,34208131683970,CANCEL,875702,SELL,LIMIT,516500,100
253,34208131785087,NEW,876866,SELL,LIMIT,516400,100
254,34208132203887,CANCEL,876866,SELL,LIMIT,516400,100
255,34208132203887,NEW,900000000022,BUY,MARKET,,100
256,34208142625269,NEW,877050,SELL,LIMIT,516500,100
257,34208161426037,CANCEL,877050,SELL,LIMIT,516500,100
258,34208161426037,NEW,900000000023,BUY,MARKET,,100
259,34208591762995,CANCEL,506758,SELL,LIMIT,521100,2600
260,34208591791266,NEW,886314,SELL,LIMIT,516700,100
261,34209133391650,CANCEL,886314,SELL,LIMIT,516700,100
262,34209133391650,NEW,900000000024,BUY,MARKET,,100
263,34209382416304,NEW,904810,SELL,LIMIT,516700,100
264,34209479767548,CANCEL,904810,SELL,LIMIT,516700,100
265,34209479767548,NEW,900000000025,BUY,MARKET,,100
266,34209481144472,NEW,909598,SELL,LIMIT,520500,1000
267,34209968218834,NEW,921606,SELL,LIMIT,517000,100
268,34211085933353,CANCEL,818130,SELL,LIMIT,520000,200
269,34211086877560,NEW,950474,SELL,LIMIT,517000,200
270,34211171216707,CANCEL,921606,SELL,LIMIT,517000,100
271,34212042772123,NEW,968602,SELL,LIMIT,536000,100
272,34212057589786,NEW,968834,BUY,LIMIT,513800,200
273,34214689296311,NEW,1009850,SELL,LIMIT,516900,47
274,34214692923005,CANCEL,1009850,SELL,LIMIT,516900,47
275,34214698674827,NEW,1010198,SELL,LIMIT,516300,47
276,34214698842490,CANCEL,1010198,SELL,LIMIT,516300,47
277,34214698842490,NEW,900000000026,BUY,MARKET,,47
278,34214705214302,NEW,1010338,SELL,LIMIT,516400,2
279,34214706168027,NEW,1010390,BUY,LIMIT,515900,2
280,34214706174664,NEW,1010394,SELL,LIMIT,516600,2
281,34214706369938,NEW,1010410,BUY,LIMIT,516000,2
282,34214706373897,NEW,1010414,SELL,LIMIT,516800,2
283,34214706576782,NEW,1010422,BUY,LIMIT,515700,2
284,34214706580518,NEW,1010426,SELL,LIMIT,517000,2
285,34214706777802,NEW,1010438,BUY,LIMIT,515500,2
286,34214706980909,NEW,1010466,BUY,LIMIT,515300,2
287,34214709302100,CANCEL,1010338,SELL,LIMIT,516400,2
288,34214709311226,NEW,1010642,BUY,LIMIT,516100,2
289,34214709313975,NEW,1010646,SELL,LIMIT,517200,2
290,34214750813198,CANCEL,1010646,SELL,LIMIT,517200,2
291,34215394097035,CANCEL,1010642,BUY,LIMIT,516100,2
292,34215529040100,CANCEL,950474,SELL,LIMIT,517000,200
293,34215529973434,NEW,1026754,SELL,LIMIT,516200,200
294,34215675820798,CANCEL,1026754,SELL,LIMIT,516200,200
295,34215675820798,NEW,900000000027,BUY,MARKET,,200
296,34215973541440,CANCEL,1010466,BUY,LIMIT,515300,2
297,34216017485735,NEW,1039798,SELL,LIMIT,516500,9
298,34216017684389,NEW,1039810,SELL,LIMIT,516700,9
299,34216017896622,NEW,1039818,SELL,LIMIT,516900,9
300,34216018111619,NEW,1039830,SELL,LIMIT,517100,9
301,34216018321260,NEW,1039834,SELL,LIMIT,517200,9
302,34216018555840,NEW,1039842,SELL,LIMIT,517300,9
303,34216019442930,NEW,1039926,BUY,LIMIT,516100,11
304,34216020941785,NEW,1039998,BUY,LIMIT,515800,11
305,34216022826305,NEW,1040146,BUY,LIMIT,515600,11
306,34216023161831,NEW,1040162,BUY,LIMIT,515400,11
307,34216039461097,NEW,1040878,BUY,LIMIT,515300,7
308,34217013347403,CANCEL,1040878,BUY,LIMIT,515300,7
309,34217013350185,NEW,1055146,BUY,LIMIT,516300,11
310,34217013992737,CANCEL,1055146,BUY,LIMIT,516300,11
311,34217257412091,NEW,1058542,BUY,LIMIT,515300,7
312,34217258527598,CANCEL,1058542,BUY,LIMIT,515300,7
313,34217293444602,NEW,1059350,BUY,LIMIT,515300,7
314,34217368296233,CANCEL,1059350,BUY,LIMIT,515300,7
315,34217480026485,NEW,1061426,BUY,LIMIT,515300,7
316,34218861734661,CANCEL,1039798,SELL,LIMIT,516500,9
317,34218861734661,NEW,900000000028,BUY,MARKET,,9
318,34218861875800,CANCEL,1061426,BUY,LIMIT,515300,7
319,34218861881027,NEW,1074810,BUY,LIMIT,516300,11
320,34218862088748,NEW,1074850,SELL,LIMIT,517400,5
321,34218862090587,CANCEL,1040162,BUY,LIMIT,515400,11
322,34218862093484,NEW,1074854,BUY,LIMIT,516400,11
323,34218862324450,NEW,1074878,SELL,LIMIT,517500,5
324,34218862378145,CANCEL,1010394,SELL,LIMIT,516600,2
325,34218862378145,NEW,900000000029,BUY,MARKET,,2
326,34218862553161,CANCEL,1010438,BUY,LIMIT,515500,2
327,34218862998637,NEW,1074958,SELL,LIMIT,517600,5
328,34218863001639,CANCEL,1039810,SELL,LIMIT,516700,9
329,34218863004341,CANCEL,1040146,BUY,LIMIT,515600,11
330,34218863224790,CANCEL,1010422,BUY,LIMIT,515700,2
331,34218863439188,NEW,1075010,BUY,LIMIT,515700,11
332,34218866610055,NEW,1075062,SELL,LIMIT,517700,5
333,34218866682580,CANCEL,1010414,SELL,LIMIT,516800,2
334,34218866682580,NEW,900000000030,BUY,MARKET,,2
335,34218866809806,CANCEL,1075010,BUY,LIMIT,515700,11
336,34218879731628,CANCEL,1039998,BUY,LIMIT,515800,11
337,34218879757595,CANCEL,1039818,SELL,LIMIT,516900,9
338,34218879757595,NEW,900000000031,BUY,MARKET,,9
339,34218879968135,NEW,1075642,SELL,LIMIT,516900,11
340,34218880376047,NEW,1075670,SELL,LIMIT,516800,11
341,34218905093913,NEW,1076210,BUY,LIMIT,515800,11
342,34218905325674,NEW,1076218,BUY,LIMIT,515700,11
343,34219317044985,CANCEL,1075670,SELL,LIMIT,516800,11
344,34219317044985,NEW,900000000032,BUY,MARKET,,11
345,34219702189414,CANCEL,1076218,BUY,LIMIT,515700,11
346,34219702495990,NEW,1085606,SELL,LIMIT,516800,11
347,34219702604601,CANCEL,1085606,SELL,LIMIT,516800,11
348,34219702604601,NEW,900000000033,BUY,MARKET,,11
349,34219866903748,CANCEL,1075642,SELL,LIMIT,516900,11
350,34219866908466,CANCEL,1076210,BUY,LIMIT,515800,11
351,34219866913003,NEW,1087046,BUY,LIMIT,516700,11
352,34219867318406,CANCEL,1087046,BUY,LIMIT,516700,11
353,34219867526347,NEW,1087134,BUY,LIMIT,515800,11
354,34220193347764,NEW,1091650,BUY,LIMIT,516700,11
355,34220193750292,CANCEL,1091650,BUY,LIMIT,516700,11
356,34220193751416,CANCEL,1087134,BUY,LIMIT,515800,11
357,34220193959760,NEW,1091742,SELL,LIMIT,516900,100
358,34220193986255,CANCEL,1091742,SELL,LIMIT,516900,100
359,34220194035836,NEW,1091758,SELL,LIMIT,516900,100
360,34220194049092,CANCEL,1091758,SELL,LIMIT,516900,100
361,34220194118305,NEW,1091778,SELL,LIMIT,516900,100
362,34220194133166,CANCEL,1091778,SELL,LIMIT,516900,100
363,34220194263798,NEW,1091806,SELL,LIMIT,516900,100
364,34220194279235,CANCEL,1091806,SELL,LIMIT,516900,100
365,34220194376536,NEW,1091826,BUY,LIMIT,516700,11
366,34220195682352,CANCEL,1010426,SELL,LIMIT,517000,2
367,34220195682352,NEW,900000000034,BUY,MARKET,,2
368,34220195824695,NEW,1091926,SELL,LIMIT,516900,11
369,34220195859170,CANCEL,1091926,SELL,LIMIT,516900,11
370,34220195859170,NEW,900000000035,BUY,MARKET,,11
371,34220196037378,NEW,1091974,SELL,LIMIT,517800,7
372,34220196038790,CANCEL,1010390,BUY,LIMIT,515900,2
373,34220196238910,NEW,1092010,BUY,LIMIT,516900,11
374,34220196243277,NEW,1092014,SELL,LIMIT,517900,9
375,34220196652357,CANCEL,1092010,BUY,LIMIT,516900,11
376,34220196855700,CANCEL,1039830,SELL,LIMIT,517100,9
377,34220196861696,NEW,1092110,BUY,LIMIT,516900,11
378,34220197103100,CANCEL,1092110,BUY,LIMIT,516900,11
379,34220530251413,NEW,1096838,SELL,LIMIT,517000,100
380,34220530635664,CANCEL,1096838,SELL,LIMIT,517000,100
381,34220530642459,NEW,1096858,SELL,LIMIT,516900,100
382,34220530662015,CANCEL,1091826,BUY,LIMIT,516700,11
383,34220530668499,CANCEL,1092014,SELL,LIMIT,517900,9
384,34220530671307,NEW,1096862,SELL,LIMIT,516900,11
385,34220530679309,NEW,1096866,BUY,LIMIT,515900,11
386,34220530874259,NEW,1096890,BUY,LIMIT,515800,11
387,34220531057219,CANCEL,1096858,SELL,LIMIT,516900,100
388,34220531069900,NEW,1096910,SELL,LIMIT,516900,100
389,34220531109381,CANCEL,1096910,SELL,LIMIT,516900,100
390,34220531109381,NEW,1096914,SELL,LIMIT,516800,100
391,34220531292232,CANCEL,1091974,SELL,LIMIT,517800,7
392,34220531297377,NEW,1096922,SELL,LIMIT,516700,11
393,34220531300147,NEW,1096926,SELL,LIMIT,516800,11
394,34220531585362,CANCEL,1075062,SELL,LIMIT,517700,5
395,34220536007627,CANCEL,1096914,SELL,LIMIT,516800,100
396,34221041882375,CANCEL,1096922,SELL,LIMIT,516700,11
397,34221041882375,NEW,900000000036,BUY,MARKET,,11
398,34221042012362,NEW,1102934,BUY,LIMIT,516500,11
399,34221042079160,CANCEL,1096926,SELL,LIMIT,516800,11
400,34221042079160,NEW,900000000037,BUY,MARKET,,11
401,34221042373420,CANCEL,1102934,BUY,LIMIT,516500,11
402,34221042373420,NEW,900000000038,SELL,MARKET,,11
403,34221042829782,NEW,1103190,BUY,LIMIT,515700,11
404,34221352018727,NEW,1108450,SELL,LIMIT,516700,100
405,34221455568944,CANCEL,1074854,BUY,LIMIT,516400,11
406,34221612083125,CANCEL,1108450,SELL,LIMIT,516700,100
407,34221612083125,NEW,900000000039,BUY,MARKET,,100
408,34222761852049,CANCEL,909598,SELL,LIMIT,520500,1000
