seq,ts_ns,event,order_id,side,type,price,quantity
40150,36418583873224,NEW,14855625,SELL,LIMIT,2082600,10
40151,36419531006174,NEW,14861993,BUY,LIMIT,2081100,25
40152,36419531137061,NEW,14861997,BUY,LIMIT,2081000,25
40153,36419531621272,NEW,14862009,BUY,LIMIT,2080900,25
40154,36419597363415,CANCEL,14861993,BUY,LIMIT,2081100,25
40155,36419597365222,CANCEL,14861997,BUY,LIMIT,2081000,25
40156,36419597365583,CANCEL,14862009,BUY,LIMIT,2080900,25
40157,36419856073683,NEW,14863089,BUY,LIMIT,2081100,25
40158,36419856583706,NEW,14863105,BUY,LIMIT,2081000,25
40159,36419872716096,CANCEL,14863089,BUY,LIMIT,2081100,25
40160,36419872717231,CANCEL,14863105,BUY,LIMIT,2081000,25
40161,36419875387233,NEW,14863225,BUY,LIMIT,2081100,25
40162,36419883607455,NEW,14863253,BUY,LIMIT,2081000,25
40163,36419883925534,NEW,14863257,BUY,LIMIT,2080900,25
40164,36419970300059,CANCEL,14863225,BUY,LIMIT,2081100,25
40165,36419970301168,CANCEL,14863253,BUY,LIMIT,2081000,25
40166,36419970302555,CANCEL,14863257,BUY,LIMIT,2080900,25
40167,36420155320731,NEW,14864969,BUY,LIMIT,2081100,25
40168,36420221016512,CANCEL,14864969,BUY,LIMIT,2081100,25
40169,36420454868026,NEW,14866881,BUY,LIMIT,2081100,25
40170,36420454980122,NEW,14866889,BUY,LIMIT,2081000,25
40171,36420455110656,NEW,14866909,BUY,LIMIT,2080900,25
40172,36420455556696,CANCEL,14866881,BUY,LIMIT,2081100,25
40173,36420455558648,CANCEL,14866909,BUY,LIMIT,2080900,25
40174,36420455558930,CANCEL,14866889,BUY,LIMIT,2081000,25
40175,36420919761700,CANCEL,14855621,SELL,LIMIT,2082500,10
40176,36420919763571,CANCEL,14855625,SELL,LIMIT,2082600,10
40177,36420919865967,NEW,14869609,SELL,LIMIT,2082500,25
40178,36420919984273,NEW,14869629,SELL,LIMIT,2082600,25
40179,36420920085644,NEW,14869637,BUY,LIMIT,2081800,25
40180,36420920090247,NEW,14869641,SELL,LIMIT,2082700,25
40181,36420920185953,CANCEL,14829701,BUY,LIMIT,2081200,25
40182,36420920305295,CANCEL,14869629,SELL,LIMIT,2082600,25
40183,36420920305513,CANCEL,14869641,SELL,LIMIT,2082700,25
40184,36420920609464,NEW,14869657,SELL,LIMIT,2082600,25
40185,36420920737370,NEW,14869669,SELL,LIMIT,2082700,25
40186,36420920856302,CANCEL,14826285,BUY,LIMIT,2081300,25
40187,36420920864162,NEW,14869681,SELL,LIMIT,2082800,25
40188,36420923232057,CANCEL,14869657,SELL,LIMIT,2082600,25
40189,36420923232257,CANCEL,14869669,SELL,LIMIT,2082700,25
40190,36420923233367,CANCEL,14869681,SELL,LIMIT,2082800,25
40191,36420939819347,NEW,14870009,SELL,LIMIT,2082600,25
40192,36420940102316,NEW,14870013,SELL,LIMIT,2082700,25
40193,36420940236263,NEW,14870021,SELL,LIMIT,2082800,25
40194,36420943571132,CANCEL,14870021,SELL,LIMIT,2082800,25
40195,36420943571347,CANCEL,14870013,SELL,LIMIT,2082700,25
40196,36420943919775,NEW,14870281,SELL,LIMIT,2082700,25
40197,36420944030543,NEW,14870293,SELL,LIMIT,2082800,25
40198,36420944171308,NEW,14870297,SELL,LIMIT,2082900,25
40199,36420944271603,CANCEL,14870293,SELL,LIMIT,2082800,25
40200,36420944272718,CANCEL,14870297,SELL,LIMIT,2082900,25
40201,36420944898391,NEW,14870349,BUY,LIMIT,2082000,25
40202,36420945025592,CANCEL,14823465,BUY,LIMIT,2081400,25
40203,36420950783730,NEW,14870553,SELL,LIMIT,2082800,25
40204,36420951065808,NEW,14870565,SELL,LIMIT,2082900,25
40205,36420951625843,CANCEL,14870553,SELL,LIMIT,2082800,25
40206,36420951626152,CANCEL,14870565,SELL,LIMIT,2082900,25
40207,36420968808009,NEW,14871005,SELL,LIMIT,2082800,25
40208,36420969110537,CANCEL,14871005,SELL,LIMIT,2082800,25
40209,36421055116266,REDUCE,14870349,BUY,LIMIT,2082000,6
40210,36421055116266,NEW,900000000807,SELL,MARKET,,19
40211,36421055134183,CANCEL,14870349,BUY,LIMIT,2082000,6
40212,36421055325790,CANCEL,14870281,SELL,LIMIT,2082700,25
40213,36421057522421,NEW,14872097,SELL,LIMIT,2082000,25
40214,36421057625339,CANCEL,14872097,SELL,LIMIT,2082000,25
40215,36421057627859,CANCEL,14870009,SELL,LIMIT,2082600,25
40216,36421321541589,CANCEL,14869637,BUY,LIMIT,2081800,25
40217,36421417449436,CANCEL,14869609,SELL,LIMIT,2082500,25
40218,36421479983316,NEW,14873929,BUY,LIMIT,2081700,600
40219,36421709669145,NEW,14874845,SELL,LIMIT,2082500,25
40220,36421709790642,NEW,14874849,SELL,LIMIT,2082600,25
40221,36421715771457,NEW,14874873,SELL,LIMIT,2082700,25
40222,36421781580776,CANCEL,14874849,SELL,LIMIT,2082600,25
40223,36421781581916,CANCEL,14874873,SELL,LIMIT,2082700,25
40224,36421781918644,NEW,14875149,SELL,LIMIT,2082600,25
40225,36421783633361,NEW,14875153,BUY,LIMIT,2081900,25
40226,36421784119739,NEW,14875157,SELL,LIMIT,2082700,25
